Iteration,Total_Cost,Position_Cost,Heading_Cost,Gamma_State_Cost,Lateral_Ref_Cost,Velocity_Cost,Gamma_Ctrl_Cost,Obstacle_Cost,Lane_Cost,Gamma_Barrier_Cost,Gamma_Dot_Barrier_Cost,Speed_Rate_Cost,Lambda_Value
0,1277.86,12.4134,0.112832,2.88666,209.469,0,7.65366,959.063,0,11.3652,74.8907,0,7
-1,1277.86,12.4134,0.112832,2.88666,209.469,0,7.65366,959.063,0,11.3652,74.8907,0,7
-2,1031.03,11.8511,0.0954436,3.08004,200.237,0.0944001,6.46575,723.089,0,11.43,74.6758,0.0144679,7
1,1031.03,11.8511,0.0954436,3.08004,200.237,0.0944001,6.46575,723.089,0,11.43,74.6758,0.0144679,7
-1,1031.03,11.8511,0.0954436,3.08004,200.237,0.0944001,6.46575,723.09,0,11.43,74.6758,0.0144679,4.9
-2,899.145,9.17003,0.0884086,3.36667,213.315,0.447878,8.26046,577.886,0,11.5254,75.0137,0.0719422,4.9
2,899.145,9.17003,0.0884086,3.36667,213.315,0.447878,8.26046,577.886,0,11.5254,75.0137,0.0719422,4.9
-1,899.145,9.17003,0.0884086,3.36667,213.315,0.447878,8.26046,577.886,0,11.5254,75.0137,0.0719422,3.43
-2,820.627,11.1803,0.0907136,3.60445,220.758,1.14486,10.3338,486.31,0,11.6047,75.4037,0.196161,3.43
3,820.627,11.1803,0.0907136,3.60445,220.758,1.14486,10.3338,486.31,0,11.6047,75.4037,0.196161,3.43
-1,820.627,11.1803,0.0907136,3.60445,220.758,1.14486,10.3338,486.31,0,11.6047,75.4037,0.196161,2.401
-2,758.092,11.0426,0.0907161,3.79167,217.359,2.24621,11.6137,424.229,0,11.6672,75.645,0.406822,2.401
4,758.092,11.0426,0.0907161,3.79167,217.359,2.24621,11.6137,424.229,0,11.6672,75.645,0.406822,2.401
-1,758.092,11.0426,0.0907161,3.79167,217.359,2.24621,11.6137,424.229,0,11.6672,75.645,0.406822,1.6807
-2,705.452,9.99714,0.0857983,3.90823,207.185,3.77925,12.0978,380.238,0,11.7063,75.7365,0.718486,1.6807
5,705.452,9.99714,0.0857983,3.90823,207.185,3.77925,12.0978,380.238,0,11.7063,75.7365,0.718486,1.6807
-1,705.452,9.99714,0.0857983,3.90823,207.185,3.77925,12.0978,380.238,0,11.7063,75.7365,0.718486,1.17649
-2,663.705,11.2765,0.085232,3.97824,194.596,5.71507,12.0881,347.368,0,11.7298,75.7348,1.13349,1.17649
6,663.705,11.2765,0.085232,3.97824,194.596,5.71507,12.0881,347.368,0,11.7298,75.7348,1.13349,1.17649
-1,663.705,11.2765,0.085232,3.97824,194.596,5.71507,12.0881,347.368,0,11.7298,75.7348,1.13349,0.823543
-2,624.096,9.19347,0.0786761,4.03295,180.666,7.98813,11.8176,321.244,0,11.7477,75.684,1.64268,0.823543
7,624.096,9.19347,0.0786761,4.03295,180.666,7.98813,11.8176,321.244,0,11.7477,75.684,1.64268,0.823543
-1,624.096,9.19347,0.0786761,4.03295,180.666,7.98813,11.8176,321.244,0,11.7477,75.684,1.64268,0.57648
-2,594.529,9.81584,0.0779561,4.06595,168.509,10.5273,11.5273,300.385,0,11.7585,75.6293,2.23337,0.57648
8,594.529,9.81584,0.0779561,4.06595,168.509,10.5273,11.5273,300.385,0,11.7585,75.6293,2.23337,0.57648
-1,594.529,9.81584,0.0779561,4.06595,168.509,10.5273,11.5273,300.385,0,11.7585,75.6293,2.23337,0.403536
-2,569.77,10.1854,0.0773984,4.08876,157.922,13.2506,11.191,282.831,0,11.7654,75.566,2.89272,0.403536
9,569.77,10.1854,0.0773984,4.08876,157.922,13.2506,11.191,282.831,0,11.7654,75.566,2.89272,0.403536
-1,569.77,10.1854,0.0773984,4.08876,157.922,13.2506,11.191,282.831,0,11.7654,75.566,2.89272,0.282475
-2,547.57,9.04983,0.0731566,4.11226,148.603,16.0993,10.8801,267.874,0,11.7723,75.5075,3.59857,0.282475
10,547.57,9.04983,0.0731566,4.11226,148.603,16.0993,10.8801,267.874,0,11.7723,75.5075,3.59857,0.282475
-1,547.57,9.04983,0.0731566,4.11226,148.603,16.0993,10.8801,267.874,0,11.7723,75.5075,3.59857,0.197733
-2,530.427,8.84115,0.0730346,4.11698,141.093,19.0396,10.618,255.074,0,11.7729,75.4582,4.34112,0.197733
11,530.427,8.84115,0.0730346,4.11698,141.093,19.0396,10.618,255.074,0,11.7729,75.4582,4.34112,0.197733
-1,530.427,8.84115,0.0730346,4.11698,141.093,19.0396,10.618,255.074,0,11.7729,75.4582,4.34112,0.138413
-2,514.703,8.19628,0.0689239,4.12048,133.636,21.9843,10.3834,244.026,0,11.7729,75.4142,5.10047,0.138413
12,514.703,8.19628,0.0689239,4.12048,133.636,21.9843,10.3834,244.026,0,11.7729,75.4142,5.10047,0.138413
-1,514.703,8.19628,0.0689239,4.12048,133.636,21.9843,10.3834,244.026,0,11.7729,75.4142,5.10047,0.096889
-2,503.941,9.02048,0.0705703,4.11318,128.221,24.9127,10.1728,234.422,0,11.7694,75.3745,5.86383,0.096889
13,503.941,9.02048,0.0705703,4.11318,128.221,24.9127,10.1728,234.422,0,11.7694,75.3745,5.86383,0.096889
-1,503.941,9.02048,0.0705703,4.11318,128.221,24.9127,10.1728,234.422,0,11.7694,75.3745,5.86383,0.0678223
-2,492.154,7.7602,0.0679609,4.10057,122.838,27.7739,9.9817,225.921,0,11.7641,75.3385,6.60875,0.0678223
14,492.154,7.7602,0.0679609,4.10057,122.838,27.7739,9.9817,225.921,0,11.7641,75.3385,6.60875,0.0678223
-1,492.154,7.7602,0.0679609,4.10057,122.838,27.7739,9.9817,225.921,0,11.7641,75.3385,6.60875,0.0474756
-2,484.78,8.41684,0.0697528,4.08387,118.86,30.5466,9.83281,218.564,0,11.7577,75.3103,7.33804,0.0474756
15,484.78,8.41684,0.0697528,4.08387,118.86,30.5466,9.83281,218.564,0,11.7577,75.3103,7.33804,0.0474756
-1,484.78,8.41684,0.0697528,4.08387,118.86,30.5466,9.83281,218.564,0,11.7577,75.3103,7.33804,0.0332329
-2,476.632,7.72499,0.0684059,4.06079,114.796,33.2286,9.70303,211.967,0,11.7491,75.2857,8.04819,0.0332329
16,476.632,7.72499,0.0684059,4.06079,114.796,33.2286,9.70303,211.967,0,11.7491,75.2857,8.04819,0.0332329
-1,476.632,7.72499,0.0684059,4.06079,114.796,33.2286,9.70303,211.967,0,11.7491,75.2857,8.04819,0.0232631
-2,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0232631
17,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0232631
-1,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0162841
-2,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0162841
18,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0162841
-1,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0113989
-2,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.0113989
19,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.0113989
-1,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.00797923
-2,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00797923
20,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00797923
-1,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00558546
-2,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00558546
21,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00558546
-1,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00390982
-2,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00390982
22,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00390982
-1,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00273687
-2,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00273687
23,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00273687
-1,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00191581
-2,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00191581
24,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00191581
-1,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00134107
-2,446.953,8.44833,0.0752319,3.72738,96.7136,52.3194,9.73278,176.213,0,11.6381,75.2877,12.7976,0.00134107
25,446.953,8.44833,0.0752319,3.72738,96.7136,52.3194,9.73278,176.213,0,11.6381,75.2877,12.7976,0.00134107
0,446.548,8.44568,0.0831475,3.76308,97.6773,52.1468,8.69611,176.211,0,11.649,75.09,12.7855,0.001
-1,446.548,8.44568,0.0831475,3.76308,97.6773,52.1468,8.69611,176.211,0,11.649,75.09,12.7855,7
-2,444.86,8.1993,0.0806072,3.6532,96.3153,52.9953,8.9772,175.009,0,11.6143,75.1419,12.8736,7
